21.50, 39.16
21.25, 39.49
21.18, -157.50
21.10, -86.50
21.07, -101.41
21.05, 79.03
21.02, 105.51
20.58, -89.37
20.40, -103.21
20.40, -105.16
20.36, -100.23
20.01, -75.48
19.45, 96.6
19.41, -99.13
19.18, -81.22
19.11, -96.08
19.05, -98.22
18.58, 72.49
18.52, 73.84
18.47, 98.59
18.32, -72.20
18.30, -69.59
18.29, -66.08
18.6, -15.57
17.59, -76.48
17.58, 102.36
17.41, 83.13
17.30, -88.11
17.25, 102.45
17.22, 78.29
17.18, -62.44
17.16, -88.46
17.07, -61.51
17.01, 54.05
16.50, -99.55
16.46, -3.00
16.48, 96.09
16.26, 102.50
15.34, 33.36
15.30, -61.39
15.21, 44.12
15.20, 38.56
15.11, 145.45
14.58, 102.06
14.55, -23.31
14.52, -92.16
14.40, -17.25
14.38, -90.33
14.38, 121.2
14.36, 120.59
14.33, 121.2
14.20, 100.34
14.05, -87.13
14.01, -60.59
13.45, 100.31
13.41, -89.11
13.31, 2.6
13.31, 144.50
13.27, 16.34
13.26, 16.40
13.10, -61.14
13.09, 80.17
13.07, -59.37
12.58, 77.35
12.56, 100.53
12.30, -61.45
12.39, -8.0
12.37, -87.09
12.21, -1.32
12.08, -86.16
12.06, 15.03
12.00, 8.31
11.51, -15.34
11.36, 43.10
11.33, 104.55
11.11, -4.17
10.65, -71.64
10.46, 106.41
10.41, 122.33
10.40, -61.31
10.38, -85.26
10.30, -66.56
10.24, -67.60
10.17, -61.28
10.17, 123.54
10.01, -84.13
9.59, 76.17
9.59, -83.02
9.58, -84.50
9.56, -84.05
9.30, -13.42
9.30, 44.0
9.24, -0.51
9.08, 99.19
9.04, 7.29
9.02, 38.44
8.58, -79.32
8.34, 16.05
8.30, -13.7
8.29, 76.57
8.12, -63.55
7.53, -72.30
7.53, 98.24
7.45, -8.49
7.40, 171.16
7.30, 126.0
7.22, 3.53
7.21, 134.28
7.01, 100.28
6.55, 158.11
6.54, 79.50
6.54, 79.53
6.49, -5.17
6.48, -58.10
6.41, -1.37
6.35, 3.20
6.30, 2.36
6.22, 2.25
6.19, 5.36
6.19, -10.46
6.14, -75.34
6.08, 1.12
